,american_name,country,lat,long,conf_count,date,cured_count,dead_count,country_2
289,"Lackland, TX (From Diamond Princess)",United States of America,29.3829,-98.6134,0,2020-01-24,0,0,United States of America
290,Lebanon,Lebanon,33.8547,35.8623,0,2020-01-24,0,0,Lebanon
291,"Humboldt County, CA",United States of America,40.745,-123.8695,0,2020-01-24,0,0,United States of America
292,"Sacramento County, CA",United States of America,38.4747,-121.3542,0,2020-01-24,0,0,United States of America
293,Iraq,Iraq,33.0,44.0,0,2020-01-24,0,0,Iraq
294,Unassigned Location (From Diamond Princess),United States of America,35.4437,139.638,0,2020-01-24,0,0,United States of America
295,Oman,Oman,21.0,57.0,0,2020-01-24,0,0,Oman
296,Afghanistan,Afghanistan,33.0,65.0,0,2020-01-24,0,0,Afghanistan
297,Bahrain,Bahrain,26.0275,50.55,0,2020-01-24,0,0,Bahrain
298,Kuwait,Kuwait,29.5,47.75,0,2020-01-24,0,0,Kuwait
299,Algeria,Algeria,28.0339,1.6596,0,2020-01-24,0,0,Algeria
300,Croatia,Croatia,45.1,15.2,0,2020-01-24,0,0,Croatia
301,Switzerland,Switzerland,46.8182,8.2275,0,2020-01-24,0,0,Switzerland
302,Austria,Austria,47.5162,14.5501,0,2020-01-24,0,0,Austria
303,Israel,Israel,31.0,35.0,0,2020-01-24,0,0,Israel
304,Pakistan,Pakistan,30.3753,69.3451,0,2020-01-24,0,0,Pakistan
305,Brazil,Brazil,-14.235,-51.9253,0,2020-01-24,0,0,Brazil
306,Georgia,Georgia,42.3154,43.3569,0,2020-01-24,0,0,Georgia
307,Greece,Greece,39.0742,21.8243,0,2020-01-24,0,0,Greece
308,North Macedonia,North Macedonia,41.6086,21.7453,0,2020-01-24,0,0,North Macedonia
309,Norway,Norway,60.472,8.4689,0,2020-01-24,0,0,Norway
310,Romania,Romania,45.9432,24.9668,0,2020-01-24,0,0,Romania
311,Denmark,Denmark,56.2639,9.5018,0,2020-01-24,0,0,Denmark
312,Estonia,Estonia,58.5953,25.0136,0,2020-01-24,0,0,Estonia
313,Netherlands,Netherlands,52.1326,5.2913,0,2020-01-24,0,0,Netherlands
314,San Marino,San Marino,43.9424,12.4578,0,2020-01-24,0,0,San Marino
315,Anhui,China,31.8257,117.2264,39,2020-01-25,0,0,China
316,Beijing,China,40.1824,116.4142,41,2020-01-25,2,0,China
317,Chongqing,China,30.0572,107.874,57,2020-01-25,0,0,China
318,Fujian,China,26.0789,117.9874,18,2020-01-25,0,0,China
319,Gansu,China,36.0611,103.8343,4,2020-01-25,0,0,China
320,Guangdong,China,23.3417,113.4244,78,2020-01-25,2,0,China
321,Guangxi,China,23.8298,108.7881,23,2020-01-25,0,0,China
322,Guizhou,China,26.8154,106.8748,4,2020-01-25,0,0,China
323,Hainan,China,19.1959,109.7453,19,2020-01-25,0,0,China
324,Hebei,China,38.0428,114.5149,8,2020-01-25,0,1,China
325,Heilongjiang,China,47.861999999999995,127.7615,9,2020-01-25,0,1,China
326,Henan,China,33.882020000000004,113.61399999999999,32,2020-01-25,0,0,China
327,Hubei,China,30.9756,112.2707,761,2020-01-25,32,40,China
328,Hunan,China,27.6104,111.7088,43,2020-01-25,0,0,China
329,Inner Mongolia,China,44.0935,113.9448,7,2020-01-25,0,0,China
330,Jiangsu,China,32.9711,119.455,18,2020-01-25,1,0,China
331,Jiangxi,China,27.614,115.7221,18,2020-01-25,0,0,China
332,Jilin,China,43.6661,126.1923,4,2020-01-25,0,0,China
333,Liaoning,China,41.2956,122.6085,17,2020-01-25,0,0,China
334,Ningxia,China,37.2692,106.1655,3,2020-01-25,0,0,China
335,Qinghai,China,35.7452,95.9956,1,2020-01-25,0,0,China
336,Shaanxi,China,35.1917,108.8701,15,2020-01-25,0,0,China
337,Shandong,China,36.3427,118.1498,27,2020-01-25,0,0,China
338,Shanghai,China,31.201999999999998,121.4491,33,2020-01-25,1,0,China
339,Shanxi,China,37.5777,112.2922,6,2020-01-25,0,0,China
340,Sichuan,China,30.6171,102.7103,28,2020-01-25,0,0,China
341,Tianjin,China,39.3054,117.323,10,2020-01-25,0,0,China
342,Tibet,China,31.6927,88.0924,0,2020-01-25,0,0,China
343,Xinjiang,China,41.1129,85.2401,3,2020-01-25,0,0,China
344,Yunnan,China,24.974,101.48700000000001,11,2020-01-25,0,0,China
345,Zhejiang,China,29.1832,120.0934,62,2020-01-25,1,0,China
346,Thailand,Thailand,15.0,101.0,7,2020-01-25,0,0,Thailand
347,Japan,Japan,36.0,138.0,2,2020-01-25,0,0,Japan
348,South Korea,South Korea,36.0,128.0,2,2020-01-25,0,0,South Korea
349,Taiwan,Taiwan,23.7,121.0,3,2020-01-25,0,0,Taiwan
350,"Seattle, WA",United States of America,47.6062,-122.3321,1,2020-01-25,0,0,United States of America
351,"Chicago, IL",United States of America,41.8781,-87.6298,1,2020-01-25,0,0,United States of America
352,"Tempe, AZ",United States of America,33.4255,-111.94,0,2020-01-25,0,0,United States of America
353,Macau,Macau,22.1667,113.55,2,2020-01-25,0,0,Macau
